kathymoorhead7,"b'@josssackler Mainstream #media misled #purduepharma victims,""3.4B to start healing the opioid crisis"" Not once, did they say 7.5% of $ goes to 130K Victims. Most of $ goes to the States. Only in America can #FDA start an #opioid crisis and States get $ You wonder why all #GUNviolence. Wake up'"
kathymoorhead7,b'@US_Muckraker @CMerandi #FDA approvals are for sale! In the 90s #purduepharma met with FDA Chief Dr Curtis Wright in a hotel room &amp; conspired to lie about #Oxycontin unleashing the #opioid crisis.Wright then left the FDA and went to work for Purdue for $379K/yr.His boss @DrWoodcockFDA became head of FDA'
kathymoorhead7,"b""@LyndsayLou81 Don't let black white mentality kill ya.  I used to say I had enough Silver chips to wallpaper a bathroom.  Progress not perfection"""
kathymoorhead7,"b'@BrianMannADK Hatred was mainstream #media Puddle journalism re #purduepharma. All splash,no depth.They spewed $4.3B ""to begin healing the opioid crisis"", yet ommitted how little victims receive, nor the conditions being demanded by the #Sacklercartel, immunity for 1000+ people. Victims misled'"
kathymoorhead7,"b""@BarryMeier @ejb1893 @Tate @sacklerpain @praddenkeefe @iamsambee @iamjohnoliver Why don't these institutions take some of those donated millions and help the #opioid orphans.  Two of three States initially targeted by #purduepharma lead the Country in #childabuse, both double the national average. https://t.co/lGnD1XRS7M"""
kathymoorhead7,"b'@josssackler Puddle journalism. No research. #media reported $4.3 B ""to begin healing the #opioid crisis"" $ goes to gov. KY WV both targeted by #purduepharma Now # 1 # 2 #childabuse Both are double the National average HELP! https://t.co/W9u3hPFtp0'"
kathymoorhead7,"b'Forgotten victims  of  #purduepharma targeted KY and WV with felonious marketing of #Oxycontin igniting the #opioid crisis. Destructive drug use is a result of trauma, so the cycle continues.  How much of $ Purdue paid KY @ 2017 funded #childbuse prevention?  @LeaderMcConnell ? https://t.co/eqTRlVVB9j'"
kathymoorhead7,"b'@Tally_Margaret @ejb1893 #PurduePharma #PI sold out. States get $.Victims get nothing due to lack of access to 20 year old medical records. Standing? Judge Drain trampled the victims. #FDA Chief Curtis Wright started #opioid crisis by lying on the #Oxycontin insert.  Feds start epidemic, States get  $'"
kathymoorhead7,"b'@Tally_Margaret I cannot believe the Federal Government #FDA Curtis Wright starts the #opioid crisis w the same company #PurduePharma that bribed the FDA 35 years before. Wright then worked for Purdue, got rich as we died, and was not prosecuted. Fed\nGov starts epidemic now States get the money'"
kathymoorhead7,"b""@hellfire3 @SeraphimOfSnark If I were someone who liked living off Gov, I wouldn't have a college degree. I have had numerous abdominal surgeries due to too many prescribed opioids. BUT that does NOT MEAN I am anti opioid.  I am anti greed &amp; political prostitution.   DEA FDA need to be overhauled."""
