JoeDabbz,"b'@OnTheLohh @MAJTOURE He forgot to mention NH where opioid overdoses is out of control with over 100 so far in 2022 and so is sexual assaults on minors by pedos. Lastly, meth is also out of control and guess who is getting arrested for all these crimes in the state?'"
JoeDabbz,b'@RationalMale Believe most of us if not all had enough of the Smith family'
JonJForsythe,b'@PadConnelly PennyBear could not have dealt with that kind of stress on our LA vacation!'
JonJForsythe,b'I bet a lot of current and especially former WoSo players are alcoholics &amp; I wish all of them could get the addiction &amp; mental health counseling they need. For blood alcohol content is probably the toxicity most immediately danger to players.'
JonJForsythe,"b""@kegevans @Pdog119 @emeraldlight09 While a healthy skepticism of Pharma is good (like how they lobby against legal weed bc it'll affect their opioid sales), the HPV vax is no-brainer to get even for ppl w/o a history of cancers. Bc 80% of adults get it &amp; pass it along to others. WISH it had been avail 4me yrs ago"""
JonJForsythe,"b""RT @living_marble: The world is not addicted to plastic. People don't buy products in plastic packages because they just can't get enough p\xe2\x80\xa6"""
JonJForsythe,b'@marisharaygun I just rewatched your video recap of that episode. That ep was so stressful!'
proconmedia,b'@MEPFuller What day did MTG get close enough to the fox and give it rabies?'
proconmedia,"b""@HenryColton @VVertuccio @davidhogg111 Look, I get it.\n\nUS government bad. All nations bad. Everyone's an enemy except for yourselves, your families, and anyone else you'd trust enough to allow into a bomb shelter (at least until food supplies run low, then it's each man for himself).\n\nOnly thing missing are zombies."""
proconmedia,"b""@HenryColton @VVertuccio @davidhogg111 Trending up in mass shooting victims.\n\nI'm done with the 'inner city' BS. Done with hearing about Chicago when there are cities with higher GV rates. These narratives are dog whistles.  \n\nTell a dad who lost his daughter in a school shooting that 'you' have compromised enough."""
proconmedia,"b""@HenryColton @VVertuccio @davidhogg111 2. I also know that what's in place isn't  enough. Sorry but the lives lost each year to gun violence is worth more than the rights of gun owners who erroneously believe that said right is absolute, as they claim a need for said right to 'shoot deer' to feed their families..."""
LambethWarp,"b""@drewedbabe @olivesagan It's a dissociative but it acts on the opioid receptors, weirdly enough."""
LambethWarp,"b""@noir_pearl For the same reason some people gorge themselves on rich food until they're sick.\n\nAbundance is rare in nature and we're hardwired to think that whatever we can get is never enough."""
